Front,Back,Note
the,der/die/das,
be,sein,
to,zu,
of,von,
and,und,
a,ein/eine,
in,in,
that,dass,
have,haben,
I,ich,
it,es,
for,für,
not,nicht,
on,auf,
with,mit,
he,er,
as,als,
you,du/Sie,
do,tun,
at,bei,
this,dieser,
but,aber,
his,sein,
by,von,
from,von,
they,sie,
we,wir,
say,sagen,
her,ihr,
she,sie,
or,oder,
an,ein,
will,werden,
my,mein,
one,eins,
all,alle,
would,würde,
there,dort,
their,ihr,
what,was,
so,so,
up,auf,
out,aus,
if,wenn,
about,über,
who,wer,
get,bekommen,
which,welche,
go,gehen,
me,mich,
when,wann,
make,machen,
can,können,
like,mögen,
time,Zeit,
no,nein,
just,nur,
him,ihn,
know,wissen,
take,nehmen,
people,Leute,
into,in,
year,Jahr,
your,dein/Ihr,
good,gut,
some,einige,
could,könnte,
them,sie,
see,sehen,
other,andere,
than,als,
then,dann,
now,jetzt,
look,schauen,
only,nur,
come,kommen,
its,sein,
over,über,
think,denken,
also,auch,
back,zurück,
after,nach,
use,benutzen,
two,zwei,
how,wie,
our,unser,
work,Arbeit,
first,erste,
well,gut,
way,Weg,
even,sogar,
new,neu,
want,wollen,
because,weil,
any,irgendein,
these,diese,
give,geben,
day,Tag,
most,meiste,
us,uns,
is,ist,
are,sind,
was,war,
were,waren,
been,gewesen,
being,seiend,
have,haben,
has,hat,
had,hatte,
having,habend,
do,tun,
does,tut,
did,tat,
doing,tun,
will,werden,
would,würde,
could,könnte,
should,sollte,
may,könnte,
might,könnte,
must,muss,
shall,soll,
need,brauchen,
dare,wagen,
ought,sollte,
used,benutzt,
life,Leben,
man,Mann,
woman,Frau,
child,Kind,
world,Welt,
house,Haus,
place,Ort,
thing,Ding,
hand,Hand,
eye,Auge,
head,Kopf,
part,Teil,
number,Nummer,
name,Name,
father,Vater,
mother,Mutter,
son,Sohn,
daughter,Tochter,
brother,Bruder,
sister,Schwester,
friend,Freund,
water,Wasser,
food,Essen,
bread,Brot,
meat,Fleisch,
fish,Fisch,
milk,Milch,
coffee,Kaffee,
tea,Tee,
wine,Wein,
beer,Bier,
money,Geld,
price,Preis,
school,Schule,
church,Kirche,
shop,Geschäft,
office,Büro,
car,Auto,
train,Zug,
plane,Flugzeug,
ship,Schiff,
door,Tür,
window,Fenster,
table,Tisch,
chair,Stuhl,
bed,Bett,
kitchen,Küche,
room,Zimmer,
street,Straße,
city,Stadt,
country,Land,
book,Buch,
letter,Brief,
question,Frage,
answer,Antwort,
problem,Problem,
idea,Idee,
love,Liebe,
war,Krieg,
peace,Frieden,
right,Recht,
wrong,falsch,
true,wahr,
false,falsch,
big,groß,
small,klein,
long,lang,
short,kurz,
high,hoch,
low,niedrig,
old,alt,
young,jung,
hot,heiß,
cold,kalt,
full,voll,
empty,leer,
open,offen,
closed,geschlossen,
easy,einfach,
hard,schwer,
happy,glücklich,
sad,traurig,
beautiful,schön,
ugly,hässlich,
strong,stark,
weak,schwach,
fast,schnell,
slow,langsam,
same,gleich,
different,anders,
possible,möglich,
impossible,unmöglich,
important,wichtig,
necessary,nötig,
ready,bereit,
free,frei,
busy,beschäftigt,
sick,krank,
healthy,gesund,
tired,müde,
hungry,hungrig,
thirsty,durstig,
rich,reich,
poor,arm,
present,anwesend,
absent,abwesend,
today,heute,
tomorrow,morgen,
yesterday,gestern,
morning,Morgen,
afternoon,Nachmittag,
evening,Abend,
night,Nacht,
week,Woche,
month,Monat,
year,Jahr,
Monday,Montag,
Tuesday,Dienstag,
Wednesday,Mittwoch,
Thursday,Donnerstag,
Friday,Freitag,
Saturday,Samstag,
Sunday,Sonntag,
January,Januar,
February,Februar,
March,März,
April,April,
May,Mai,
June,Juni,
July,Juli,
August,August,
September,September,
October,Oktober,
November,November,
December,Dezember,
red,rot,
blue,blau,
green,grün,
yellow,gelb,
white,weiß,
black,schwarz,
grey,grau,
brown,braun,
one,eins,
two,zwei,
three,drei,
four,vier,
five,fünf,
six,sechs,
seven,sieben,
eight,acht,
nine,neun,
ten,zehn,
hundred,hundert,
thousand,tausend,
first,erste,
second,zweite,
here,hier,
there,dort,
where,wo,
when,wann,
why,warum,
how,wie,
what,was,
who,wer,
yes,ja,
no,nein,
please,bitte,
thanks,danke,
sorry,Entschuldigung,
hello,hallo,
goodbye,auf Wiedersehen,
the,der/die/das,
be,sein,
to,zu,
of,von,
and,und,
a,ein/eine,
in,in,
that,dass,
have,haben,
I,ich,
it,es,
for,für,
not,nicht,
on,auf,
with,mit,
he,er,
as,als,
you,du/Sie,
do,tun,
at,bei,
this,dieser,
but,aber,
his,sein,
by,von,
from,von,
they,sie,
we,wir,
say,sagen,
her,ihr,
she,sie,
or,oder,
an,ein,
will,werden,
my,mein,
one,eins,
all,alle,
would,würde,
there,dort,
their,ihr,
what,was,
so,so,
up,auf,
out,aus,
if,wenn,
about,über,
who,wer,
get,bekommen,
which,welche,
go,gehen,
me,mich,
when,wann,
make,machen,
can,können,
like,mögen,
time,Zeit,
no,nein,
just,nur,
him,ihn,
know,wissen,
take,nehmen,
people,Leute,
into,in,
year,Jahr,
your,dein/Ihr,
good,gut,
some,einige,
could,könnte,
them,sie,
see,sehen,
other,andere,
than,als,
then,dann,
now,jetzt,
look,schauen,
only,nur,
come,kommen,
its,sein,
over,über,
think,denken,
also,auch,
back,zurück,
after,nach,
use,benutzen,
two,zwei,
how,wie,
our,unser,
work,Arbeit,
first,erste,
well,gut,
way,Weg,
even,sogar,
new,neu,
want,wollen,
because,weil,
any,irgendein,
these,diese,
give,geben,
day,Tag,
most,meiste,
