Front,Back,Note
interviews,Interviews,
concepts,Konzepte,
gun,Gewehr,
reflect,reflektieren,
pure,rein,
hell,Hölle,
fruit,Obst,
begins,beginnt,
qualified,qualifiziert,
reform,Reform,
lens,Linse,
treated,behandelt,
discovery,Entdeckung,
draw,zeichnen,
classified,klassifiziert,
assume,annehmen,
alliance,Allianz,
confirm,bestätigen,
engineer,Ingenieur,
consistent,konsistent,
replace,ersetzen,
clearance,Spielraum,
converter,Konverter,
organisation,Organisation,
babe,Baby,
checks,Schecks,
reached,erreicht,
becoming,Werden,
objective,Zielsetzung,
indicated,angezeigt,
sugar,Zucker,
crew,Crew,
legs,Beine,
stick,Stock,
relation,Beziehung,
enabled,aktiviert,
genre,Genre,
volunteer,Freiwillige,
rear,Rückseite,
democratic,demokratisch,
enhance,verbessern,
exact,genau,
bound,gebunden,
parameter,Parameter,
processor,Prozessor,
node,Knoten,
formal,formal,
storm,Sturm,
micro,Mikro,
colleges,Hochschulen,
mile,Meile,
challenges,Herausforderungen,
editors,Redakteure,
supreme,höchste,
brothers,Brüder,
recognition,Anerkennung,
ref,ref,
estimate,schätzen,
kid,Kind,
inspection,Inspektion,
consumers,Verbraucher,
limits,Grenzen,
territory,Gebiet,
weapons,Bewaffnung,
delay,verzögern,
pilot,Pilot,
contributions,Beiträge,
continuous,kontinuierlich,
initiative,Initiative,
novel,Roman,
execution,Ausführung,
disability,Behinderung,
ultra,Ultra,
winner,Gewinner,
episode,Folge,
potter,Töpfer,
dish,Gericht,
plays,Theaterstücke,
bulletin,Bekanntmachung,
ia,ia,
modify,ändern,
truly,wirklich,
universe,Universum,
candidate,Kandidat,
slot,Slot,
outstanding,hervorragend,
ha,Ha,
planned,geplant,
lodge,Hütte,
mirror,Spiegel,
tournament,Turnier,
consideration,Berücksichtigung,
sessions,Sitzungen,
kernel,Kern,
buyers,Käufer,
journals,Zeitschriften,
gray,grau,
catalogue,Katalog,
charged,berechnet,
broad,breit,
und,und,
chosen,gewählt,
demo,Demo,
hate,Hass,
terminal,Terminal,
publishers,Verlag,
nights,Nächte,
liquid,Flüssigkeit,
rice,Reis,
reservation,Reservierung,
foods,Lebensmittel,
guard,bewachen,
saving,Einsparung,
empire,Reich,
newly,neu,
raise,erziehen,
illegal,illegal,
expansion,Erweiterung,
premier,Premier,
tomorrow,Morgen,
milk,Milch,
drama,Theater,
visiting,Besuch,
contest,Wettbewerb,
collected,gesammelt,
bands,Bands,
suitable,geeignet,
absolutely,absolut,
audit,Prüfung,
chamber,Kammer,
guinea,Guinea,
findings,Ergebnisse,
iso,iso,
typical,typisch,
sum,Summe,
chicken,Hähnchen,
temporary,vorübergehend,
attend,besuchen,
shower,Dusche,
sending,Versendung,
sufficient,ausreichend,
shell,Schale,
province,Provinz,
catholic,katholisch,
governor,Gouverneur,
beer,Bier,
contribution,Beitrag,
formula,Formel,
constitution,Verfassung,
packaging,Verpackung,
reliable,zuverlässig,
doubt,Zweifel,
earn,verdienen,
periods,Perioden,
attacks,Anschläge,
merchandise,Waren,
symptoms,Symptome,
memorial,Denkmal,
twin,Zwilling,
insert,einfügen,
gateway,Tor,
drawing,Zeichnung,
candidates,Kandidaten,
ordered,bestellt,
biological,biologisch,
fighting,Kampf,
transition,Übergang,
preferences,Vorlieben,
spy,Spion,
romance,Romantik,
instrument,Instrument,
split,Teilt,
themes,Themen,
powers,Befugnisse,
heaven,Himmel,
bits,Bits,
pregnant,schwanger,
classification,Einstufung,
focused,konzentriert,
physician,Arzt,
asking,fragen,
blocks,Blöcke,
lo,lo,
spiritual,geistig,
diabetes,Diabetes,
ml,ml,
shift,Verschiebung,
sit,sitzen,
bodies,Körper,
photographs,Fotos,
cutting,Schneiden,
writers,Schriftsteller,
flexible,flexibel,
loved,liebte,
favourites,Favoriten,
mapping,Kartierung,
numerous,zahlreich,
relatively,verhältnismäßig,
represents,repräsentiert,
superior,überlegen,
preferred,bevorzugt,
saved,Gerettet,
intellectual,intellektuelle,
granted,gewährt,
carbon,Kohlenstoff,
comfortable,gemütlich,
magnetic,magnetisch,
interaction,Interaktion,
listening,Hören,
crisis,Krise,
outlook,Ausblick,
massive,massiv,
bright,hell,
formed,gebildet,
piano,Klavier,
echo,Echo,
revolution,Revolution,
displays,Displays,
plasma,Plasma,
earnings,Verdienste,
mystery,Geheimnis,
landscape,Landschaft,
mechanical,mechanisch,
journey,Reise,
banner,Banner,
fig,Feige,
counties,Grafschaften,
acquisition,Erwerb,
recognized,anerkannt,
dreams,Träume,
notification,Benachrichtigung,
kg,kg,
teach,lehren,
rapid,schnell,
pull,ziehen,
ut,ut,
seminar,Seminar,
investments,Investitionen,
wheels,Räder,
specify,angeben,
sensitive,empfindlich,
templates,Vorlagen,
formats,Formate,
holds,hält,
router,Router,
concrete,Beton,
si,si,
folder,Mappe,
completion,Fertigstellung,
pulse,Impuls,
technique,Technik,
voting,Wählen,
courts,Justiz,
converted,umgewandelt,
metro,Metro,
anniversary,Jahrestag,
improvements,Verbesserungen,
strip,Streifen,
specification,Spezifikation,
accident,Unfall,
nick,Kerbe,
accessible,zugänglich,
resident,Bewohner,
plot,Handlung,
typically,typisch,
representation,Darstellung,
pump,Pumpe,
exists,existiert,
arrangements,Vereinbarungen,
conferences,Konferenzen,
consumption,Verbrauch,
narrow,eng,
threat,Bedrohung,
surveys,Umfragen,
sitting,Sitzung,
consultant,Berater,
controller,Regler,
committees,Ausschüsse,
penis,Penis,
castle,Schloss,
gardens,Gardens,
labels,Etiketten,
willing,bereit,
bio,bio,
acting,Schauspielkunst,
heads,Köpfe,
exam,Prüfung,
residence,Residenz,
density,Dichte,
hundred,hundert,
strange,seltsam,
sustainable,nachhaltig,
statistical,statistisch,
mention,erwähnen,
innovation,Innovation,
grey,grau,
parallel,parallel,
operate,arbeiten,
bills,Banknoten,
stable,stabil,
definitions,Definitionen,
von,von,
doctors,Ärzte,
lesson,Lektion,
cinema,Kino,
elections,Wahlen,
reaction,Reaktion,
blank,leer,
enhanced,verbessert,
entitled,berechtigt,
severe,schwer,
generate,generieren,
newspapers,Zeitungen,
hospitals,Krankenhäuser,
vi,vi,
humor,Humor,
aged,alt,
monitors,Monitore,
exception,Ausnahme,
duration,Dauer,
bulk,Masse,
visits,Besuche,
capabilities,Fähigkeiten,
recommendation,Empfehlung,
sin,Sünde,
organized,organisiert,
ba,ba,
para,para,
adoption,Annahme,
improving,Verbesserung,
expensive,teuer,
buffalo,Büffel,
organisations,Organisationen,
plane,Ebene,
programmes,Programme,
mechanism,Mechanismus,
ee,ee,
marked,markiert,
driven,Gefahren,
bottle,Flasche,
innovative,innovativ,
massage,Massage,
conclusion,Fazit,
closing,Schließen,
thousand,tausend,
legend,Legende,
villa,Villa,
bone,Knochen,
columns,Säulen,
disorders,Störungen,
collaboration,Zusammenarbeit,
detection,Entdeckung,
inner,innere,
formation,Formation,
med,med,
engineers,Ingenieure,
entity,Entität,
cruises,Kreuzfahrten,
gate,Tor,
roman,römisch,
duties,Aufgaben,
erotic,erotisch,
tone,Ton,
ethics,Ethik,
dragon,Drachen,
busy,beschäftigt,
captain,Kapitän,
brings,bringt,
heating,Heizung,
leg,Bein,
neck,Hals,
wing,Flügel,
scripts,Skripte,
abc,ABC,
appointed,ernannt,
dealing,Behandlung,
commit,verpflichten,
rail,Schiene,
trips,Reisen,
gap,Spalt,
sides,Seiten,
tube,Tube,
corresponding,dazugehörigen,
descriptions,Beschreibungen,
belt,Gürtel,
jacket,Jacke,
animation,Animation,
oracle,Orakel,
er,er,
productions,Produktionen,
aviation,Luftfahrt,
proud,stolz,
disaster,Katastrophe,
console,Konsole,
commands,Befehle,
jr,jr,
telecommunications,Telekommunikation,
instructor,Lehrer,
giant,Riese,
achieved,erreicht,
injuries,Verletzungen,
approaches,Ansätze,
usual,gewöhnlich,
stamps,Briefmarken,
angle,Winkel,
rob,rauben,
designers,Designer,
liberty,Freiheit,
era,Epoche,
convert,Konvertieren,
possibility,Möglichkeit,
analyst,Analytiker,
dangerous,gefährlich,
reliability,Zuverlässigkeit,
respectively,beziehungsweise,
volunteers,Freiwillige,
derived,abgeleiteten,
pleasure,Vergnügen,
honor,Ehre,
oriented,orientiert,
eagle,Adler,
prayer,Gebet,
workshops,Workshops,
hurricane,Hurrikan,
quiet,ruhig,
producer,Hersteller,
represented,repräsentiert,
responsibilities,Verantwortlichkeiten,
cheese,Käse,
carefully,vorsichtig,
productivity,Produktivität,
crown,Krone,
par,Par,
diagnosis,Diagnose,
maker,Hersteller,
crack,Riss,
principle,Prinzip,
picks,Picks,
gang,Gang,
fetish,Fetisch,
appearance,Aussehen,
smoke,Rauch,
filters,Filter,
incorporated,inkorporiert,
craft,Kunst,
fellow,Gefährte,
blind,blind,
lounge,Salon,
mad,wütend,
algorithm,Algorithmus,
strongly,stark,
cafe,Cafe,
ken,ken,
proteins,Proteine,
su,su,
familiar,familiär,
capable,fähig,
admission,Eintritt,
shoe,Schuh,
elected,gewählt,
carrying,Tragen,
terrorism,Terrorismus,
joy,Freude,
editions,Ausgaben,
