Front,Back,Note
ciao,hallo,
grazie,danke,
sì,ja,
no,nein,
buongiorno,guten Morgen,
buonasera,guten Abend,
buonanotte,gute Nacht,
prego,bitte,
scusa,Entschuldigung,
per favore,bitte,
acqua,Wasser,
pane,Brot,
caffè,Kaffee,
latte,Milch,
vino,Wein,
birra,Bier,
cibo,Essen,
casa,Haus,
strada,Straße,
libro,Buch,
tempo,Zeit,
uomo,Mann,
donna,Frau,
bambino,Kind,
famiglia,Familie,
amico,Freund,
oggi,heute,
domani,morgen,
ieri,gestern,
grande,groß,
piccolo,klein,
nuovo,neu,
vecchio,alt,
bello,schön,
buono,gut,
cattivo,schlecht,
molto,sehr,
poco,wenig,
tutto,alles,
niente,nichts,
qui,hier,
là,dort,
sempre,immer,
mai,nie,
ancora,noch,
già,schon,
solo,nur,
anche,auch,
perché,warum,
come,wie,
quando,wann,
dove,wo,
cosa,was,
chi,wer,
quale,welche,
questo,dieser,
quello,jener,
io,ich,
tu,du,
lui,er,
lei,sie,
noi,wir,
voi,ihr,
loro,sie,
mio,mein,
tuo,dein,
suo,sein,
nostro,unser,
vostro,euer,
loro,ihr,
avere,haben,
essere,sein,
fare,machen,
andare,gehen,
venire,kommen,
dire,sagen,
vedere,sehen,
sapere,wissen,
volere,wollen,
potere,können,
dovere,müssen,
parlare,sprechen,
mangiare,essen,
bere,trinken,
dormire,schlafen,
lavorare,arbeiten,
vivere,leben,
amare,lieben,
pensare,denken,
capire,verstehen,
aprire,öffnen,
chiudere,schließen,
comprare,kaufen,
vendere,verkaufen,
prendere,nehmen,
dare,geben,
scrivere,schreiben,
leggere,lesen,
ascoltare,hören,
imparare,lernen,
insegnare,lehren,
aiutare,helfen,
chiedere,fragen,
rispondere,antworten,
aspettare,warten,
cercare,suchen,
trovare,finden,
perdere,verlieren,
iniziare,anfangen,
finire,beenden,
capire,verstehen,
credere,glauben,
sembrare,scheinen,
conoscere,kennen,
ricordare,sich erinnern,
dimenticare,vergessen,
partire,abfahren,
arrivare,ankommen,
entrare,eintreten,
uscire,hinausgehen,
stare,bleiben,
restare,bleiben,
morire,sterben,
nascere,geboren werden,
piacere,gefallen,
servire,dienen,
costare,kosten,
piovvere,regnen,
nevicare,schneien,
anno,Jahr,
vita,Leben,
mano,Hand,
parte,Teil,
occhio,Auge,
giorno,Tag,
mondo,Welt,
notte,Nacht,
testa,Kopf,
ora,Stunde,
cosa,Sache,
casa,Haus,
padre,Vater,
madre,Mutter,
figlio,Sohn,
figlia,Tochter,
fratello,Bruder,
sorella,Schwester,
marito,Ehemann,
moglie,Ehefrau,
nome,Name,
numero,Nummer,
anno,Jahr,
tempo,Zeit,
uomo,Mann,
donna,Frau,
bambino,Kind,
famiglia,Familie,
amico,Freund,
lavoro,Arbeit,
posto,Platz,
città,Stadt,
paese,Land,
strada,Straße,
porta,Tür,
finestra,Fenster,
tavolo,Tisch,
sedia,Stuhl,
letto,Bett,
cucina,Küche,
bagno,Badezimmer,
scuola,Schule,
chiesa,Kirche,
ospedale,Krankenhaus,
negozio,Geschäft,
ufficio,Büro,
macchina,Auto,
treno,Zug,
aereo,Flugzeug,
nave,Schiff,
barca,Boot,
soldi,Geld,
prezzo,Preis,
costo,Kosten,
pagare,bezahlen,
comprare,kaufen,
vendere,verkaufen,
lavorare,arbeiten,
studiare,studieren,
giocare,spielen,
leggere,lesen,
scrivere,schreiben,
parlare,sprechen,
ascoltare,hören,
vedere,sehen,
sentire,hören,
capire,verstehen,
pensare,denken,
credere,glauben,
volere,wollen,
potere,können,
dovere,müssen,
sapere,wissen,
conoscere,kennen,
ricordare,sich erinnern,
dimenticare,vergessen,
mangiare,essen,
bere,trinken,
dormire,schlafen,
svegliarsi,aufwachen,
alzarsi,aufstehen,
sedersi,sich setzen,
camminare,gehen,
correre,laufen,
nuotare,schwimmen,
viaggiare,reisen,
partire,abfahren,
arrivare,ankommen,
tornare,zurückkehren,
entrare,eintreten,
uscire,hinausgehen,
aprire,öffnen,
chiudere,schließen,
prendere,nehmen,
dare,geben,
mettere,stellen,
togliere,entfernen,
tenere,halten,
lasciare,lassen,
chiamare,rufen,
aspettare,warten,
cercare,suchen,
trovare,finden,
perdere,verlieren,
iniziare,anfangen,
finire,beenden,
continuare,fortsetzen,
aiutare,helfen,
chiedere,fragen,
rispondere,antworten,
dire,sagen,
telefonare,anrufen,
scrivere,schreiben,
mandare,schicken,
ricevere,bekommen,
uno,eins,
due,zwei,
tre,drei,
quattro,vier,
cinque,fünf,
sei,sechs,
sette,sieben,
otto,acht,
nove,neun,
