Front,Back,Note
japanese,japanisch,
race,Rennen,
approved,genehmigt,
target,Ziel,
except,außer,
character,Charakter,
maintenance,Instandhaltung,
ability,Fähigkeit,
ed,ed,
rape,vergewaltigen,
battery,Batterie,
youth,Jugend,
pressure,Druck,
submitted,eingereicht,
debt,Schuld,
medium,Mittel,
television,Fernsehen,
interested,interessiert,
core,Ader,
break,Unterbrechung,
purposes,Zwecke,
sets,Sets,
dance,tanzen,
wood,Holz,
defined,definiert,
papers,Papiere,
awards,Auszeichnungen,
fee,Gebühr,
studio,Studio,
reader,Leser,
device,Gerät,
established,etabliert,
answers,Antworten,
rent,Miete,
las,las,
dark,dunkel,
external,extern,
apple,Apfel,
le,le,
instructions,Anleitung,
min,Mindest,
offered,angeboten,
theory,Theorie,
remove,Löschen,
aid,Hilfe,
visual,visuell,
host,Gastgeber,
variety,Vielfalt,
teachers,Lehrer,
manual,Handbuch,
block,Block,
subjects,Fächer,
agents,Mittel,
repair,Reparatur,
fair,Messe,
steel,stehlen,
understanding,Verstehen,
songs,Lieder,
fixed,Fest,
wrong,falsch,
beginning,Anfang,
hands,Hände,
az,az,
paris,Paris,
gets,wird,
sector,Sektor,
capacity,Kapazität,
un,un,
fat,Fett,
father,Vater,
electric,elektrisch,
saw,sah,
instruments,Instrumente,
officer,Offizier,
driver,Treiber,
businesses,Unternehmen,
dead,tot,
unknown,unbekannte,
restaurant,Restaurant,
mike,Mike,
trip,Ausflug,
mi,mi,
poor,Arm,
relationship,Beziehung,
workers,Arbeitskräfte,
peace,Frieden,
traditional,traditionell,
showing,zeigt,
creative,kreativ,
coast,Küste,
benefit,Vorteil,
funding,Finanzierung,
devices,Geräte,
lord,Herr,
grant,gewähren,
sub,Unter,
fiction,Fiktion,
watches,Uhren,
careers,Karriere,
goes,geht,
led,LED,
museum,Museum,
fan,Ventilator,
transport,Transport,
interesting,interessant,
blogs,Blogs,
evaluation,Auswertung,
former,ehemalige,
zone,Zone,
complex,Komplex,
th,th,
cat,Katze,
die,sterben,
presented,vorgeführt,
flat,eben,
flow,fließen,
agencies,Agenturen,
literature,Literatur,
parent,Elternteil,
setting,Rahmen,
dr,DR,
scale,Rahmen,
economy,Wirtschaft,
helpful,hilfreich,
monthly,monatlich,
critical,kritisch,
frame,Rahmen,
musical,Musical,
definition,Definition,
secretary,Sekretär,
path,Pfad,
chief,Chef,
gives,gibt,
packages,Pakete,
detail,Detail,
laws,Gesetze,
changed,geändert,
begin,Start,
royal,königlich,
clean,reinigen,
guy,Kerl,
titles,Titel,
relevant,relevant,
justice,Gerechtigkeit,
connect,verbinden,
cup,Tasse,
basket,Korb,
applied,angewandt,
weekly,wöchentlich,
vol,vol,
installation,Installation,
pp,pp,
attention,Beachtung,
advance,vorrücken,
skip,überspringen,
diet,Diät,
army,Armee,
gear,Ausrüstung,
difference,Unterschied,
allowed,dürfen,
correct,richtig,
nation,Nation,
selling,Verkauf,
lots,viele,
piece,Stück,
sheet,Blatt,
firm,Feste,
seven,Sieben,
elements,Elemente,
species,Spezies,
jump,springen,
cells,Zellen,
module,Modul,
resort,Urlaubsort,
certificate,Zertifikat,
minister,Minister,
motion,Bewegung,
fashion,Mode,
directions,Richtungen,
visitors,Besucher,
documentation,Dokumentation,
trading,Handel,
forest,Wald,
calls,Anrufe,
coverage,Berichterstattung,
couple,Paar,
giving,Angabe,
chance,Chance,
vision,Vision,
ball,Ball,
ending,Ende,
clients,Kunden,
actions,Aktionen,
discuss,diskutieren,
goal,Tor,
successful,erfolgreich,
sold,verkauft,
wind,Wind,
communities,Gemeinden,
clinical,klinisch,
situation,Lage,
markets,Märkte,
publishing,Verlagswesen,
appear,erscheinen,
developing,Entwicklung,
lives,Leben,
determine,bestimmen,
temperature,Temperatur,
announcements,Ankündigungen,
patient,geduldig,
actual,tatsächlich,
historical,historisch,
stone,Stein,
bob,Bob,
commerce,Handel,
persons,Personen,
difficult,schwer,
scientific,wissenschaftlich,
satellite,Satellit,
tests,Tests,
village,Dorf,
accounts,Konten,
amateur,Amateur,
ex,Ex,
met,getroffen,
pain,Schmerzen,
factors,Faktoren,
coffee,Kaffee,
buyer,Käufer,
poster,Poster,
edge,Kante,
functional,funktional,
root,Wurzel,
fi,fi,
closed,geschlossen,
holidays,Ferien,
pink,Rosa,
balance,Balance,
monitoring,Überwachung,
replies,Antworten,
shot,Schuss,
initial,Initiale,
label,Etikette,
sec,Sekunde,
canon,Kanon,
league,Liga,
waste,Abfall,
minute,Minute,
bus,Bus,
provider,Anbieter,
dictionary,Wörterbuch,
accounting,Buchhaltung,
manufacturing,Herstellung,
sections,Abschnitte,
chair,Stuhl,
effort,Anstrengung,
phase,Phase,
fantasy,Fantasie,
po,po,
va,va,
professor,Professor,
install,Installieren,
shirt,Hemd,
apparel,Kleider,
foot,Fuß,
breast,Brust,
techniques,Techniken,
dollars,Dollar,
religion,Religion,
permission,Genehmigung,
wild,wild,
generation,Generation,
miss,Fräulein,
chemical,chemisch,
doctor,Arzt,
task,Aufgabe,
reduce,reduzieren,
brought,gebracht,
exercise,Übung,
bug,Fehler,
guarantee,Garantie,
leader,Führer,
se,se,
processes,Prozesse,
soft,weich,
meetings,Treffen,
seconds,Sekunden,
flight,Flug,
congress,Kongress,
fuel,Treibstoff,
walk,gehen,
produced,hergestellt,
saint,Heilige,
argument,Streit,
competition,Wettbewerb,
drugs,Drogen,
joint,Joint,
premium,Prämie,
fresh,frisch,
characters,Figuren,
attorney,Rechtsanwalt,
di,di,
factor,Faktor,
thousands,tausende,
km,km,
stream,Strom,
apartments,Wohnungen,
pick,pflücken,
hearing,Hören,
eastern,östlich,
therapy,Therapie,
entries,Einträge,
signed,unterzeichnet,
administrative,administrativ,
serious,ernst,
limit,Grenze,
steps,Schritte,
shops,Geschäfte,
bondage,Knechtschaft,
del,del,
efforts,Anstrengungen,
informed,informiert,
ga,ga,
thoughts,Gedanken,
creek,Bach,
ft,ft,
quantity,Menge,
essential,wesentlich,
tours,Touren,
load,Belastung,
immediately,sofort,
machines,Maschinen,
designated,vorgesehen,
heavy,schwer,
covered,bedeckt,
recovery,Wiederherstellung,
integrated,integriert,
configuration,Aufbau,
cock,Schwanz,
merchant,Händler,
comprehensive,umfassend,
expert,Experte,
protect,schützen,
solid,solide,
presentation,Präsentation,
became,wurde,
orange,Orange,
compliance,Beachtung,
theme,Thema,
rich,Reich,
campaign,Kampagne,
vs,vs,
guitar,Gitarre,
finding,finden,
examples,Beispiele,
spirit,Geist,
ar,ar,
claims,Ansprüche,
acceptance,Annahme,
strategies,Strategien,
mo,mo,
affairs,Angelegenheiten,
intended,beabsichtigt,
sa,sa,
goals,Tore,
hire,mieten,
election,Wahl,
suggest,vorschlagen,
branch,Ast,
serve,Dienen,
affiliates,Mitgliedsorganisationen,
mount,montieren,
latin,Latein,
multimedia,Multimedia,
manage,verwalten,
corner,Ecke,
rank,Rang,
element,Element,
birth,Geburt,
virus,Virus,
interactive,interaktiv,
requests,Anfragen,
separate,trennen,
quarter,Quartal,
procedure,Verfahren,
leadership,Führung,
define,definieren,
religious,religiös,
facts,Fakten,
breakfast,Frühstück,
column,Säule,
faith,Glauben,
chain,Kette,
identify,identifizieren,
avenue,Avenue,
missing,fehlt,
recommendations,Empfehlungen,
moved,gerührt,
reach,erreichen,
comparison,Vergleich,
moment,Moment,
extended,verlängert,
sequence,Sequenz,
inch,Zoll,
attack,Attacke,
centers,Zentren,
opening,Öffnung,
lab,Labor,
reserve,Reservieren,
gamma,Gamma,
produce,produzieren,
truth,Wahrheit,
counter,Zähler,
failure,Fehler,
follows,folgt,
dollar,Dollar,
camp,Lager,
